CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10000089,1108,1.50,14.000,0.00
10000089,333,20.00,4.000,0.00
10000090,1802,20.00,1.000,0.00
10000090,717,9.60,10.000,0.00
10000090,333,20.00,2.000,0.00
10000090,20,1.50,20.000,0.00
10000090,135,4.50,1.000,0.00
10000091,75,2.50,2.000,0.00
10000092,333,20.00,1.000,0.00
10000093,524,11.00,2.000,0.00
10000093,714,2.50,1.000,0.00
10000094,876,1.70,1.000,0.00
10000095,20,1.50,2.000,0.00
10000096,333,20.00,1.000,0.00
10000097,1111,13.00,1.000,0.00
10000098,765,5.00,1.000,0.00
10000099,765,5.00,2.000,0.00
10000100,680,2.00,20.000,0.00
10000101,680,2.00,15.000,0.00
10000102,1893,16.00,1.000,0.00
10000102,971,3.00,1.000,0.00
10000103,765,5.00,2.000,0.00
10000104,1660,4.00,1.000,0.00
10000104,1168,23.00,2.000,0.00
10000104,1133,36.00,1.000,0.00
10000104,1147,73.00,1.000,0.00
10000104,633,0.80,10.000,0.00
10000104,965,14.00,1.000,0.00
10000105,20,1.50,75.000,0.00
10000105,333,20.00,7.000,0.00
10000105,876,1.70,50.000,0.00
10000105,794,6.20,24.000,0.00
10000105,799,2.20,30.000,0.00
10000105,797,1.30,20.000,0.00
10000105,852,6.50,1.000,0.00
10000106,765,5.00,2.000,0.00
10000107,1055,10.00,2.000,0.00
10000108,607,2.50,1.000,0.00
10000109,1506,2.10,1.000,0.00
10000109,1353,0.80,1.000,0.00
10000109,714,2.50,1.000,0.00
10000110,974,10.00,1.000,0.00
10000110,1147,73.00,1.000,0.00
10000110,1168,23.00,2.000,0.00
10000110,633,0.80,10.000,0.00
10000110,335,0.50,3.000,0.00
10000110,1893,16.00,1.000,0.00
10000110,1111,14.00,2.000,0.00
10000111,58,0.80,1.000,0.00
10000112,610,1.00,5.000,0.00
10000113,62,1.50,1.000,0.00
10000113,1484,3.00,1.000,0.00
10000114,714,2.50,1.000,0.00
10000114,71,8.00,2.000,0.00
10000115,197,0.80,1.000,0.00
10000115,1381,0.50,2.000,0.00
10000116,1024,0.50,20.000,0.00
10000117,1054,3.00,2.000,0.00
10000118,768,4.00,1.000,0.00
10000119,563,25.00,1.000,0.00
10000120,1133,36.00,1.000,0.00
10000121,765,5.00,7.000,0.00
10000122,71,8.00,3.000,0.00
10000123,228,6.50,2.000,0.00
10000123,1749,4.90,1.000,0.00
10000124,228,6.50,2.000,0.00
10000124,1749,4.90,1.000,0.00
10000124,879,0.20,6.000,0.00
10000125,20,1.50,30.000,0.00
10000125,876,1.70,25.000,0.00
10000125,333,20.00,3.000,0.00
10000126,20,1.50,30.000,0.00
10000126,333,20.00,2.000,0.00
10000126,326,3.50,4.000,0.00
10000127,94,4.00,1.000,0.00
10000128,94,4.00,1.000,0.00
10000129,981,2.00,1.000,0.00
10000129,73,0.60,5.000,0.00
10000130,981,2.00,1.000,0.00
10000130,73,0.60,5.000,0.00
10000131,1181,3.80,5.000,0.00
10000132,1181,3.80,5.000,0.00
10000133,333,20.00,1.000,0.00
10000133,20,1.50,12.000,0.00
10000134,978,18.00,1.000,0.00
10000135,1055,10.00,2.000,0.00
10000136,333,20.00,1.000,0.00
10000137,197,0.80,1.000,0.00
10000137,608,4.00,1.000,0.00
10000138,633,0.80,3.000,0.00
10000139,1111,14.00,1.000,0.00
10000140,1111,14.00,2.000,0.00
10000141,966,4.50,1.000,0.00
10000141,1111,14.00,2.000,0.00
10000142,1095,0.80,40.000,0.00
10000143,20,1.50,10.000,0.00
10000143,333,20.00,1.000,0.00
10000143,980,2.50,2.000,0.00
10000144,678,0.70,26.000,0.00
10000145,333,20.00,1.000,0.00
10000146,20,1.50,10.000,0.00
10000147,1888,11.00,1.000,0.00
10000148,149,4.00,1.000,0.00
10000149,1659,3.00,1.000,0.00
10000149,1111,14.00,1.000,0.00
10000150,1111,14.00,1.000,0.00
10000152,633,0.80,3.000,0.00
10000153,970,2.30,1.000,0.00
10000153,648,8.00,1.000,0.00
10000154,676,0.30,15.000,0.00
10000154,58,0.80,1.000,0.00
10000155,333,20.00,1.000,0.00
10000155,1511,0.70,5.000,0.00
10000156,1236,5.00,2.000,0.00
10000157,1679,0.06,1.000,0.00
10000158,1679,0.06,8.000,0.00
10000159,714,3.00,2.000,0.00
10000160,1055,10.00,1.000,0.00
10000161,333,20.00,1.000,0.00
10000161,20,1.50,10.000,0.00
10000162,1441,6.60,1.000,0.00
10000162,1439,4.30,1.000,0.00
10000162,1511,0.70,2.000,0.00
10000162,1513,1.00,2.000,0.00
10000162,35,5.00,1.000,0.00
10000163,1228,0.40,1.000,0.00
10000163,1381,0.50,1.000,0.00
10000164,20,1.50,3.000,0.00
10000164,326,3.50,1.000,0.00
10000164,12,4.50,2.000,0.00
10000164,1130,40.00,1.000,0.00
10000164,1592,35.00,1.000,0.00
10000165,1241,2.00,10.000,0.00
10000166,653,5.50,2.000,0.00
10000167,335,0.50,10.000,0.00
10000168,1111,14.00,1.000,0.00
10000168,968,1.00,1.000,0.00
10000169,1024,0.50,10.000,0.00
10000170,1043,8.00,1.000,0.00
10000171,763,5.00,1.000,0.00
10000172,799,2.20,9.000,0.00
10000173,333,20.00,1.000,0.00
10000173,1241,2.00,10.000,0.00
10000173,20,1.50,10.000,0.00
10000173,326,3.50,1.000,0.00
10000174,1454,1.80,1.000,0.00
10000175,773,8.00,1.000,0.00
10000175,751,1.30,1.000,0.00
10000176,913,6.00,4.000,0.00
10000177,1784,2.50,3.000,0.00
10000177,197,0.80,5.000,0.00
10000177,268,0.40,15.000,0.00
10000178,336,2.00,1.000,0.00
10000179,20,1.50,25.000,0.00
10000180,1030,0.00,1.000,0.00
10000181,20,1.50,15.000,0.00
10000181,333,20.00,1.000,0.00
10000181,75,2.50,1.000,0.00
10000181,1236,5.00,1.000,0.00
10000182,1517,1.30,1.000,0.00
10000182,1557,1.60,1.000,0.00
10000183,524,11.00,1.000,0.00
10000184,1242,0.37,20.000,0.00
10000184,1241,2.00,3.000,0.00
10000184,336,2.00,10.000,0.00
10000185,1055,10.00,1.000,0.00
10000185,1649,0.80,1.000,0.00
10000185,970,2.30,1.000,0.00
10000185,1111,14.00,1.000,0.00
10000186,565,15.00,1.000,0.00
10000187,1024,0.50,10.000,0.00
10000188,1110,45.00,1.000,0.00
10000188,12,4.50,3.000,0.00
10000188,1656,1.50,1.000,0.00
10000188,20,1.50,8.000,0.00
10000188,333,20.50,1.000,0.00
10000189,1100,25.00,2.000,0.00
10000189,12,4.50,3.000,0.00
10000189,1656,1.50,1.000,0.00
10000189,20,1.50,8.000,0.00
10000189,333,20.50,1.000,0.00
10000190,1110,45.00,2.000,0.00
10000190,12,4.50,3.000,0.00
10000190,1656,1.50,1.000,0.00
10000190,20,1.50,8.000,0.00
10000190,333,20.50,1.000,0.00
10000191,20,1.50,4.000,0.00
10000191,335,0.50,25.000,0.00
10000191,1024,0.50,2.000,0.00
10000192,20,1.50,10.000,0.00
10000193,512,3.50,1.000,0.00
10000194,326,4.00,1.000,0.00
10000194,20,1.50,40.000,0.00
10000194,333,20.50,1.000,0.00
10000194,876,1.70,4.000,0.00
10000195,876,1.70,3.000,0.00
