CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10002893,333,20.50,5.000,0.00
10002893,1447,3.70,1.000,0.00
10003047,1144,52.00,1.000,0.00
10003047,633,1.00,10.000,0.00
10003047,1336,5.30,10.000,0.00
10003047,1143,1.80,3.000,0.00
10003047,12,5.00,1.000,0.00
10003048,1574,2.50,6.000,0.00
10003048,1584,3.00,2.000,0.00
10003104,1045,8.50,1.000,0.00
10003224,612,10.00,1.000,0.00
10003225,853,4.00,1.000,0.00
10003226,75,3.00,1.000,0.00
10003467,685,5.00,1.000,0.00
10003469,660,2.30,1.000,0.00
10003469,657,1.30,1.000,0.00
10003469,1719,2.00,2.000,0.00
10003469,1111,14.80,2.000,0.00
10003469,12,5.00,1.000,0.00
10003469,447,36.00,1.000,0.00
10003469,1183,5.60,1.000,0.00
10003469,1381,0.50,1.000,0.00
10003469,607,2.50,1.000,0.00
10003469,599,1.93,6.000,0.00
10003469,1709,1.50,5.000,0.00
10003469,1940,0.80,1.000,0.00
10003469,714,3.00,1.000,0.00
10003469,1773,1.50,5.000,0.00
10003469,1717,4.00,3.000,0.00
10003469,1732,1.30,2.000,0.00
10003469,1825,0.40,5.000,0.00
10003469,106,3.60,1.000,0.00
10003469,102,3.00,2.000,0.00
10003469,208,11.00,3.000,0.00
10003469,1133,36.00,3.000,0.00
10003469,1753,0.60,2.000,0.00
10003469,1136,23.00,2.000,0.00
10003469,439,4.00,1.000,0.00
10003469,716,0.60,10.000,0.00
10003469,1146,7.00,1.000,0.00
10003469,633,1.00,2.000,0.00
10003469,1129,5.00,1.000,0.00
10003469,970,2.50,1.000,0.00
10003469,513,3.80,1.000,0.00
10003469,1650,1.30,2.000,0.00
10003469,765,6.50,1.000,0.00
10003698,71,8.00,1.000,0.00
10003698,1132,148.00,1.000,0.00
10003698,1133,36.00,1.000,0.00
10003698,197,0.80,1.000,0.00
10003698,12,5.00,2.000,0.00
10003698,676,0.40,10.000,0.00
10003698,1644,4.80,1.000,0.00
10003699,335,0.50,2.000,0.00
10003699,20,1.50,1.000,0.00
10003757,333,20.50,1.000,0.00
10003757,20,1.50,10.000,0.00
10003757,71,8.00,1.000,0.00
10003757,1024,0.60,10.000,0.00
10003757,680,1.50,7.000,0.00
10003757,514,7.50,1.000,0.00
10004012,1222,12.00,1.000,0.00
10004012,1037,3.00,1.000,0.00
10004189,1534,0.50,20.000,0.00
10004444,1860,3.00,1.000,0.00
10004477,879,0.20,20.000,0.00
10004478,676,0.40,35.000,0.00
10004478,899,1.20,5.000,0.00
10004509,1444,1.60,1.000,0.00
10004509,1507,5.50,1.000,0.00
10004509,1455,3.00,1.000,0.00
10004509,1454,2.50,1.000,0.00
10004509,1429,4.20,3.000,0.00
10004509,333,20.50,1.000,0.00
10004509,20,1.50,5.000,0.00
10004509,71,8.00,3.000,0.00
10004509,1241,2.00,3.000,0.00
10004510,1147,82.00,1.000,0.00
10004510,680,1.50,8.000,0.00
10004517,71,8.00,6.000,0.00
10004517,20,1.50,6.000,0.00
10004517,981,2.00,5.000,0.00
10004517,360,6.00,1.000,0.00
10004518,71,8.00,6.000,0.00
10004518,20,1.50,4.000,0.00
10004518,981,2.00,5.000,0.00
10004518,360,6.00,1.000,0.00
10004604,763,5.00,3.000,0.00
10004633,1436,3.40,1.000,0.00
10004633,1451,3.70,1.000,0.00
10004633,1423,11.00,1.000,0.00
10004633,1456,4.00,1.000,0.00
10004759,299,3.00,2.000,0.00
10004759,295,0.60,1.000,0.00
10004759,882,0.25,8.000,0.00
10004759,488,5.00,1.000,0.00
10004759,324,16.00,1.000,0.00
10004759,1740,1.50,1.000,0.00
10004759,1112,5.00,1.000,0.00
10004759,1649,1.00,1.000,0.00
10004759,905,2.00,1.000,0.00
10004759,819,5.00,1.000,0.00
10004759,102,3.00,2.000,0.00
10004949,1024,0.60,30.000,0.00
10005293,1658,3.00,1.000,0.00
10005294,1604,16.00,1.000,0.00
10005294,633,1.00,9.000,0.00
10005466,1024,0.60,4.000,0.00
10005466,1228,0.50,2.000,0.00
10005466,947,12.00,1.000,0.00
10005466,1352,0.50,2.000,0.00
10005466,1143,1.80,0.500,0.00
10005466,1142,1.50,4.000,0.00
10005466,1380,0.50,2.000,0.00
10005466,1392,0.70,1.000,0.00
10005466,1353,0.90,3.000,0.00
10005466,1393,0.70,1.000,0.00
10005466,1375,0.50,1.000,0.00
10005516,1992,5.00,4.000,0.00
10005698,680,1.50,4.000,0.00
10005806,1302,7.30,2.000,0.00
10005807,1552,2.60,1.000,0.00
10005807,1302,7.30,2.000,0.00
10006059,765,6.50,13.000,0.00
10006232,20,1.50,15.000,0.00
10006232,333,20.50,3.000,0.00
10006232,763,5.00,2.000,0.00
10006232,326,4.50,3.000,0.00
10006232,1429,4.70,6.000,0.00
10006337,633,1.00,3.000,0.00
10006337,680,1.50,30.000,0.00
10006337,514,7.50,5.000,0.00
10006337,1254,5.00,1.000,0.00
10006337,1024,0.60,40.000,0.00
10006337,528,4.50,2.000,0.00
10006337,20,1.50,190.000,0.00
10006337,333,20.50,26.000,0.00
10006337,794,6.00,10.500,0.00
10006337,813,19.00,8.000,0.00
10006337,814,24.00,1.000,0.00
10006337,854,4.50,1.000,0.00
10006337,856,4.50,1.000,0.00
10006337,804,3.90,21.000,0.00
10006337,800,4.50,3.500,0.00
10006337,876,1.70,40.000,0.00
10006337,268,0.40,52.000,0.00
10006337,523,5.00,4.000,0.00
10006337,1607,34.00,1.000,0.00
10006337,525,23.00,2.000,0.00
10006337,200,2.50,1.000,0.00
10006337,1242,0.42,600.000,0.00
10006337,326,4.50,10.000,0.00
10006337,987,15.00,2.000,0.00
10006337,198,2.00,19.000,0.00
10006337,197,1.00,4.000,0.00
10006337,31,9.90,1.000,0.00
10006432,1597,30.00,2.000,0.00
10006432,267,0.30,12.000,0.00
10006432,197,1.00,4.000,0.00
10006432,199,1.00,1.000,0.00
10006432,577,0.63,40.000,0.00
10006432,1717,4.00,4.000,0.00
10006432,504,6.00,1.000,0.00
10006433,1597,30.00,2.000,0.00
10006433,267,0.30,12.000,0.00
10006433,197,1.00,4.000,0.00
10006433,199,1.00,1.000,0.00
10006433,577,0.63,40.000,0.00
10006433,1717,4.00,4.000,0.00
10006433,504,8.00,1.000,0.00
10006433,1242,0.42,60.000,0.00
10006433,20,1.50,50.000,0.00
10006433,333,20.50,3.000,0.00
10006433,326,4.50,2.000,0.00
10006465,765,6.50,1.000,0.00
10006466,794,6.00,12.000,0.00
10006466,20,1.50,100.000,0.00
10006466,333,20.50,10.000,0.00
10006466,765,6.50,20.000,0.00
10006584,1640,26.00,1.000,0.00
10006585,876,1.70,3.000,0.00
10006586,71,8.00,2.000,0.00
10006609,1157,60.00,1.000,0.00
10006610,1110,48.00,1.000,0.00
10006611,714,3.00,5.000,0.00
10006822,1596,12.00,3.000,0.00
10006822,1241,2.20,50.000,0.00
10006822,1506,2.50,1.000,0.00
10006822,1447,4.40,1.000,0.00
10006822,86,1.50,2.000,0.00
10006822,1431,7.20,1.000,0.00
10006822,1848,2.50,1.000,0.00
10006822,20,1.50,300.000,0.00
10006822,765,6.50,68.000,0.00
10006822,333,20.50,30.000,0.00
10006822,714,3.50,4.000,0.00
10006822,1242,0.42,200.000,0.00
10006822,987,15.00,2.000,0.00
10006822,794,6.00,12.000,0.00
10006822,35,7.50,2.000,0.00
10006822,876,1.70,50.000,0.00
10006822,524,15.00,1.000,0.00
10006822,187,2.50,1.000,0.00
10006822,1243,0.85,100.000,0.00
10006822,1286,10.00,1.000,0.00
10006823,1230,2.00,2.000,0.00
10006823,404,40.00,1.000,0.00
10006823,598,1.50,10.000,0.00
10006823,1719,2.50,1.000,0.00
10006823,1724,1.50,1.000,0.00
10006823,197,1.00,2.000,0.00
10006823,1024,0.60,10.000,0.00
10006823,1241,2.20,10.000,0.00
10006823,980,2.50,5.000,0.00
10006823,900,1.20,3.000,0.00
10006823,981,2.00,6.000,0.00
10006823,20,1.50,20.000,0.00
10006823,333,20.50,2.000,0.00
10006823,71,8.00,20.000,0.00
10006823,570,12.00,2.000,0.00
10006823,1511,0.90,1.000,0.00
10006823,588,0.37,25.000,0.00
10006823,545,1.20,20.000,0.00
10006823,633,1.00,9.000,0.00
10006823,1683,0.15,1.000,0.00
10006823,102,3.00,1.000,0.00
10006823,76,15.00,1.000,0.00
10006824,714,3.50,2.000,0.00
10006824,841,5.00,1.000,0.00
10006824,20,1.50,30.000,0.00
10006824,333,20.50,3.000,0.00
10006824,765,6.50,4.000,0.00
10006824,464,4.00,1.000,0.00
10006824,906,5.00,1.000,0.00
10006824,1573,2.30,1.000,0.00
10006824,601,1.37,3.000,0.00
10006824,1578,2.30,5.000,0.00
10006824,1381,0.50,2.000,0.00
10006824,1574,2.50,2.000,0.00
10006824,1553,3.30,3.000,0.00
10006824,465,4.80,2.000,0.00
10006824,1412,4.20,1.000,0.00
10006824,64,5.30,1.000,0.00
10006824,269,0.40,5.000,0.00
10006824,1571,3.30,2.000,0.00
10006824,1351,0.40,2.000,0.00
10006824,674,17.60,1.000,0.00
10006824,1454,2.50,1.000,0.00
10006824,1506,2.50,1.000,0.00
10006824,1393,0.70,1.000,0.00
10006825,1736,25.00,2.000,0.00
10006825,963,23.00,1.000,0.00
10006825,971,3.50,1.000,0.00
10006825,204,6.00,1.000,0.00
10006825,676,0.40,35.000,0.00
10006825,460,4.00,1.000,0.00
10006825,12,5.50,2.000,0.00
10006825,1111,14.80,1.000,0.00
10006825,677,1.20,2.000,0.00
10006825,1883,0.20,30.000,0.00
10006825,768,4.50,1.000,0.00
10006825,1110,48.00,1.000,0.00
10006825,1851,15.00,1.000,0.00
10006825,293,0.90,1.000,0.00
10006825,1658,3.00,1.000,0.00
10006825,608,4.00,1.000,0.00
10006825,545,1.20,30.000,0.00
10006825,586,0.34,30.000,0.00
10006825,576,0.40,100.000,0.00
10006825,1651,1.70,1.000,0.00
10006825,714,3.50,1.000,0.00
10006826,843,3.00,3.000,0.00
10006842,20,1.50,40.000,0.00
10006842,333,20.50,6.000,0.00
10006842,326,4.50,4.000,0.00
10006842,1241,2.20,5.000,0.00
10006842,1143,1.80,18.000,0.00
10006842,1209,6.80,6.000,0.00
10006842,1428,2.80,3.000,0.00
10006842,1429,4.70,3.000,0.00
10006905,1143,1.80,1.000,0.00
10006905,1484,3.70,1.000,0.00
10006905,1393,0.70,1.000,0.00
10006905,1336,5.80,1.000,0.00
10006906,1241,2.20,3.000,0.00
10006906,1244,0.45,30.000,0.00
10007008,524,15.00,1.000,0.00
10007008,20,1.50,30.000,0.00
10007008,333,20.50,2.000,0.00
10007008,326,4.50,3.000,0.00
10007008,1242,0.42,120.000,0.00
10007008,1241,2.20,2.000,0.00
10007008,35,7.50,1.000,0.00
10007008,794,6.00,3.000,0.00
10007375,988,0.07,100.000,0.00
10007596,1574,2.50,6.000,0.00
10007678,333,20.50,1.000,0.00
10007977,71,8.50,10.000,0.00
10007977,20,1.50,10.000,0.00
10008132,970,3.00,1.000,0.00
10008133,1133,36.00,40.000,0.00
10008329,326,4.50,1.000,0.00
10008561,333,20.50,2.000,0.00
10008661,1170,2.30,4.000,0.00
10008752,981,2.00,2.000,0.00
10008753,335,0.50,10.000,0.00
10008798,752,1.50,3.000,0.00
10008798,900,1.20,2.000,0.00
10008867,981,2.00,1.000,0.00
10008918,326,4.50,3.000,0.00
10008918,333,19.00,2.000,0.00
10008918,20,1.50,10.000,0.00
10008918,980,2.50,5.000,0.00
10008918,71,8.50,15.000,0.00
10008918,1241,2.20,1.000,0.00
10008918,1506,2.80,1.000,0.00
10008918,1364,3.60,1.000,0.00
10008918,1143,2.20,3.000,0.00
10008918,1230,2.00,1.000,0.00
10008918,1303,14.00,3.000,0.00
10008918,1553,3.30,2.000,0.00
10008918,1574,2.50,2.000,0.00
10008918,1228,0.50,2.000,0.00
10008918,677,1.50,2.000,0.00
10009292,1043,8.00,1.000,0.00
10009292,693,8.00,1.000,0.00
10009292,1272,7.00,1.000,0.00
10009292,1510,0.80,1.000,0.00
10009292,1729,7.60,1.000,0.00
10009292,826,6.00,1.000,0.00
10009292,1412,4.70,1.000,0.00
10009816,71,8.50,4.000,0.00
10010328,335,0.50,4.000,0.00
10010328,20,1.50,1.000,0.00
10010329,970,3.00,1.000,0.00
10010330,335,0.50,10.000,0.00
10010330,20,1.50,1.000,0.00
10010330,71,8.50,1.000,0.00
10010612,1143,2.20,6.000,0.00
10010612,1159,6.90,4.000,0.00
10010612,632,20.00,1.000,0.00
10010612,714,3.50,3.000,0.00
10010612,64,5.30,1.000,0.00
10010612,1990,18.00,1.000,0.00
10010612,1422,7.70,1.000,0.00
10010612,1454,2.00,1.000,0.00
10010612,1393,0.70,5.000,0.00
10010612,1383,2.70,3.000,0.00
10010612,1381,0.50,5.000,0.00
10010612,1228,0.50,2.000,0.00
10010612,1480,4.00,1.000,0.00
10010612,1352,0.50,1.000,0.00
10010612,1665,2.00,1.000,0.00
10010982,893,2.00,1.000,0.00
10011064,446,76.00,1.000,0.00
10011065,20,1.50,5.000,0.00
10011065,335,0.50,20.000,0.00
10011066,333,15.00,1.000,0.00
10011066,326,4.80,1.000,0.00
10011066,20,1.50,6.000,0.00
10011067,1589,20.00,1.000,0.00
10011069,1146,8.50,1.000,0.00
10011070,1145,16.00,1.000,0.00
10011071,20,1.50,10.000,0.00
10011072,1347,4.00,1.000,0.00
10011072,1385,13.90,1.000,0.00
10011072,1361,0.70,2.000,0.00
10011073,1185,9.80,6.000,0.00
10011074,1185,9.80,6.000,0.00
10011075,465,6.00,1.000,0.00
10011076,20,1.50,10.000,0.00
10011076,333,15.00,1.000,0.00
10011357,71,8.50,4.000,0.00
10011538,333,15.00,1.000,0.00
10011570,20,1.50,50.000,0.00
10011570,334,27.00,12.000,0.00
10011570,70,30.00,5.000,0.00
10011571,20,1.50,50.000,0.00
10011571,334,27.00,12.000,0.00
10011571,70,30.00,5.000,0.00
10011755,1230,2.00,1.000,0.00
10011755,71,8.50,1.000,0.00
10012049,512,3.50,6.000,0.00
10012277,326,4.80,1.000,0.00
10012524,31,15.00,1.000,0.00
10012525,200,2.50,1.000,0.00
10012527,13,47.00,1.000,0.00
10012528,20,1.50,1.000,0.00
10012531,333,15.00,10.000,0.00
10012533,33,0.00,1.000,0.00
10012623,3,11.00,1.000,0.00
10012623,20,1.50,1.000,0.00
10012798,1111,16.00,1.000,0.00
10012798,459,2.00,3.000,0.00
10012798,981,2.00,3.000,0.00
10012799,1236,7.50,1.000,0.00
10013733,71,8.50,1.000,0.00
10013897,633,1.00,1.000,0.00
10013897,714,4.00,1.000,0.00
10013897,268,0.50,4.000,0.00
10013932,57,0.70,14.000,0.00
10013933,20,1.70,13.000,0.00
10013933,326,5.00,2.000,0.00
10013933,335,0.50,1.000,0.00
10014426,799,3.00,6.000,0.00
10014426,853,6.50,1.000,0.00
10014426,20,1.70,20.000,0.00
10014426,333,14.00,3.000,0.00
10014426,326,5.00,2.000,0.00
10014426,1241,2.50,10.000,0.00
10014426,813,20.00,2.000,0.00
10014471,333,14.00,1.000,0.00
10015417,1484,4.00,5.000,0.00
10015417,1381,0.50,10.000,0.00
10015417,1507,7.00,1.000,0.00
10015417,677,1.50,2.000,0.00
10015417,714,4.50,1.000,0.00
10015417,1393,1.00,4.000,0.00
10015417,1534,0.50,4.000,0.00
10015417,197,1.00,10.000,0.00
10015417,35,7.50,1.000,0.00
10015417,1309,2.50,1.000,0.00
10015417,1143,2.00,6.000,0.00
10016540,1320,1.50,1.000,0.00
10016540,1360,0.80,1.000,0.00
10016540,1345,1.70,2.000,0.00
10016540,1506,3.00,1.000,0.00
10016540,1444,1.30,1.000,0.00
10016540,1143,2.20,1.000,0.00
10016540,1407,1.50,1.000,0.00
10016540,676,0.50,1.000,0.00
10016540,1387,0.80,1.000,0.00
10016678,814,30.00,1.000,0.00
10016678,524,15.00,1.000,0.00
10016678,523,7.00,2.000,0.00
10016678,20,1.70,14.000,0.00
10016678,333,16.60,2.000,0.00
10016678,799,3.20,6.000,0.00
10016678,797,1.70,6.000,0.00
10016678,852,8.00,1.000,0.00
10016678,853,6.50,1.000,0.00
10016795,1307,20.00,3.000,0.00
10016795,1429,5.50,6.000,0.00
10016795,1573,2.00,4.000,0.00
10016795,1578,2.00,1.000,0.00
10016795,1547,3.50,1.000,0.00
10016795,1418,4.50,2.000,0.00
10016795,1445,2.00,4.000,0.00
10016795,1450,2.00,2.000,0.00
10016795,1455,3.50,2.000,0.00
10016795,1446,4.00,2.000,0.00
10016795,1,7.00,1.000,0.00
10016795,3,10.00,1.000,0.00
10016795,1434,2.00,1.000,0.00
10016795,1436,4.00,1.000,0.00
10016795,197,1.00,1.000,0.00
10016795,465,6.00,2.000,0.00
10016795,906,5.00,1.000,0.00
10016795,677,1.50,1.000,0.00
10016795,64,6.00,1.000,0.00
10016795,1511,1.50,13.000,0.00
10016795,1512,1.50,2.000,0.00
10016795,1469,12.00,1.000,0.00
10016795,20,1.70,100.000,0.00
10016795,333,16.60,10.000,0.00
10016795,765,6.50,2.000,0.00
10016795,70,25.00,1.000,0.00
10016795,1507,7.00,1.000,0.00
10016795,714,4.50,1.000,0.00
10017526,335,0.40,25.000,0.00
10017526,1241,2.50,1.000,0.00
10017526,327,4.50,1.000,0.00
10017526,1170,2.50,1.000,0.00
10017526,1429,5.30,6.000,0.00
10017526,1445,1.50,3.000,0.00
10017526,1506,3.00,1.000,0.00
10017526,1714,1.50,4.000,0.00
10017526,1596,17.60,1.000,0.00
10017526,1958,2.00,1.000,0.00
10017526,2121,3.00,2.000,0.00
10018438,1956,16.00,1.000,0.00
10018508,1242,0.60,50.000,0.00
10018508,20,1.70,4.000,0.00
10018508,335,0.50,30.000,0.00
10019038,999,65.00,3.000,0.00
10019038,1396,7.00,3.000,0.00
10019038,1364,4.00,1.000,0.00
10019038,1390,4.50,7.000,0.00
10019038,1384,4.00,5.000,0.00
10019038,64,6.00,1.000,0.00
10019038,1507,7.00,1.000,0.00
10019038,1334,2.50,2.000,0.00
10019038,677,1.50,2.000,0.00
10019038,1355,2.50,6.000,0.00
10019038,1209,8.50,6.000,0.00
10019169,1387,0.90,2.000,0.00
10019169,1484,4.50,1.000,0.00
10019169,1482,3.50,1.000,0.00
10019169,64,6.00,1.000,0.00
10019169,579,2.30,20.000,0.00
10019169,608,5.00,1.000,0.00
10019169,1143,2.20,1.000,0.00
10019169,1142,2.00,1.000,0.00
10019169,80,0.30,1.000,0.00
10019169,878,0.20,2.000,0.00
10019170,1241,2.50,3.000,0.00
10019171,1445,1.50,1.000,0.00
10019171,1450,2.00,1.000,0.00
10019172,2061,75.00,1.000,0.00
10019263,71,8.00,3.000,0.00
10019264,1735,12.00,1.000,0.00
10019265,268,0.50,50.000,0.00
10020086,803,5.00,9.000,0.00
10020087,979,30.00,1.000,0.00
10020088,1148,22.00,1.000,0.00
10020088,1024,0.70,10.000,0.00
10020138,1506,3.00,1.000,0.00
10020487,1241,2.50,2.000,0.00
10021012,1361,0.80,3.000,0.00
10021013,765,8.00,1.000,0.00
10021013,335,0.50,10.000,0.00
10021343,1,7.00,4.000,0.00
10021343,1449,1.50,1.000,0.00
10021343,1406,2.50,1.000,0.00
10021343,1507,7.00,1.000,0.00
10021343,1156,5.00,6.000,0.00
10021343,1534,0.50,1.000,0.00
10021441,20,2.00,5.000,0.00
10021441,333,19.00,1.000,0.00
10021468,1242,0.55,60.000,0.00
10021468,197,1.50,3.000,0.00
10021468,198,2.50,1.000,0.00
10021468,333,19.00,1.000,0.00
10021468,20,2.00,6.000,0.00
10021468,1580,6.00,1.000,0.00
10021468,1571,5.00,1.000,0.00
10021469,1242,0.55,60.000,0.00
10021469,197,1.50,3.000,0.00
10021469,198,2.50,1.000,0.00
10021469,333,19.00,1.000,0.00
10021469,20,2.00,6.000,0.00
10021469,1580,6.00,1.000,0.00
10021469,1571,5.00,1.000,0.00
10021469,1303,22.00,1.000,0.00
10021562,1159,7.50,2.000,0.00
10021562,999,85.00,1.000,0.00
10021562,1383,3.50,3.000,0.00
10021562,1381,0.70,2.000,0.00
10021562,1393,0.90,2.000,0.00
10021562,1228,0.60,2.000,0.00
10021562,1414,5.00,1.000,0.00
10021562,1334,3.00,2.000,0.00
10021562,714,4.50,1.000,0.00
10021562,1454,2.00,1.000,0.00
10021562,1345,2.10,1.000,0.00
10021562,1378,1.80,2.000,0.00
10021562,1355,2.70,1.000,0.00
10021562,1354,2.50,1.000,0.00
10021562,1395,5.60,1.000,0.00
10022196,768,5.00,4.000,0.00
10022196,1898,5.30,8.000,0.00
10022196,1111,17.00,1.000,0.00
10022196,878,0.20,30.000,0.00
10022196,879,0.25,30.000,0.00
10022196,1860,5.00,1.000,0.00
10022196,677,1.50,5.000,0.00
10022204,1160,18.00,1.000,0.00
10022830,1111,17.00,1.000,0.00
10022831,680,1.50,1.000,0.00
10022832,20,2.00,5.000,0.00
10023306,4,10.00,5.000,0.00
10023306,902,4.00,4.000,0.00
10023306,785,6.00,1.000,0.00
10023741,1381,0.90,4.000,0.00
10023741,1228,0.70,2.000,0.00
10023741,1393,1.10,1.000,0.00
10023741,689,3.00,1.000,0.00
10023741,1507,8.50,1.000,0.00
10023741,324,18.00,1.000,0.00
10023741,607,3.00,1.000,0.00
10023741,81,0.50,5.000,0.00
10023741,878,0.20,10.000,0.00
10023741,677,1.50,6.000,0.00
10023741,1111,17.00,1.000,0.00
10023873,1428,3.50,2.000,0.00
10023873,1429,6.10,2.000,0.00
10023873,1431,8.70,2.000,0.00
10023873,1143,2.60,6.000,0.00
10023873,1447,5.60,2.000,0.00
10023873,1454,3.50,2.000,0.00
10023873,1465,12.00,2.000,0.00
10023873,1459,3.00,2.000,0.00
10023873,1506,3.50,1.000,0.00
10023873,1469,15.00,1.000,0.00
10023873,1484,5.00,2.000,0.00
10023873,5,6.00,1.000,0.00
10023873,1480,5.00,1.000,0.00
10023873,1352,1.00,1.000,0.00
10023873,333,22.00,1.000,0.00
10023873,1241,3.00,3.000,0.00
10023873,20,2.20,4.000,0.00
10023873,1393,1.10,1.000,0.00
10024827,320,12.00,6.000,0.00
10024827,1430,8.00,2.000,0.00
10024827,2036,6.00,2.000,0.00
10024827,320,12.00,2.000,0.00
10024827,131,5.00,1.000,0.00
10024827,1431,9.00,0.500,0.00
10024827,1591,20.00,1.000,0.00
10024827,1669,4.50,1.000,0.00
10024827,12,7.00,1.000,0.00
10024827,1768,1.00,27.000,0.00
10024827,95,8.00,1.000,0.00
10024827,158,26.00,1.000,0.00
10024827,1735,12.00,1.000,0.00
10024827,926,1.50,4.000,0.00
10025101,20,2.20,50.000,0.00
10025101,333,23.50,6.000,0.00
10025101,326,7.00,12.000,0.00
10025101,1597,42.00,1.000,0.00
10025101,813,20.00,1.000,0.00
10025229,20,2.20,5.000,0.00
10025229,333,23.50,1.000,0.00
10025229,326,7.00,1.000,0.00
10025250,1507,8.50,1.000,0.00
10025250,1447,5.60,1.000,0.00
10025250,1436,4.90,5.000,0.00
10025250,1452,5.80,1.000,0.00
10025250,680,1.50,4.000,0.00
10025250,86,1.50,1.000,0.00
10025250,1420,15.00,1.000,0.00
10025250,1465,12.00,1.000,0.00
10025250,1431,8.70,3.000,0.00
10025250,1429,6.10,3.000,0.00
10025250,1408,2.20,1.000,0.00
10025250,1410,4.80,1.000,0.00
10025614,765,8.00,1.000,0.00
10026557,1024,0.70,5.000,0.00
10026922,1100,30.00,37.000,0.00
10028739,168,0.12,6.000,0.00
10028739,96,10.00,1.000,0.00
10028739,914,6.30,4.000,0.00
10028740,35,7.50,3.000,0.00
10028740,34,0.00,1.000,0.00
10028741,35,7.50,3.000,0.00
10028741,31,17.00,1.000,0.00
10029340,765,8.00,4.000,0.00
10029341,1145,16.00,2.000,0.00
10029342,945,15.00,1.000,0.00
10029980,662,3.00,1.000,0.00
10029981,1346,2.60,2.000,0.00
10029981,999,85.00,1.000,0.00
10029981,1396,7.00,5.000,0.00
10029981,1384,4.50,5.000,0.00
10029981,1381,0.90,20.000,0.00
10029981,1393,1.10,5.000,0.00
10029981,1254,8.00,1.000,0.00
10030444,20,2.20,5.000,0.00
10030444,335,0.60,25.000,0.00
10030444,57,0.70,1.000,0.00
10030444,10,5.00,1.000,0.00
10030445,73,27.00,2.000,0.00
10033165,20,2.20,50.000,0.00
10033165,871,9.00,1.000,0.00
10033600,980,2.80,3.000,0.00
10033601,980,2.80,3.000,0.00
10033873,1470,34.00,1.000,0.00
10033873,1418,5.80,1.000,0.00
10035050,1144,59.00,1.000,0.00
10035050,1589,22.00,1.000,0.00
10035050,1617,26.40,1.000,0.00
10035059,2137,14.00,1.000,0.00
10035059,20,2.20,1.000,0.00
10035059,335,0.60,5.000,0.00
10035059,1596,17.00,1.000,0.00
10035059,1241,3.30,1.000,0.00
10035060,981,2.30,1.000,0.00
,,0.00,,0.00
,,0.00,,0.00
,,0.00,,0.00
10036256,333,23.00,10.000,0.00
10036881,70,27.00,1.000,0.00
10036881,20,2.40,1.000,0.00
10036883,714,4.50,2.000,0.00
10036885,70,30.00,1.000,0.00
10036887,70,30.00,2.000,0.00
10036889,71,10.00,70.000,0.00
10036891,714,4.50,2.000,0.00
10036893,20,2.70,6.000,0.00
10036893,1006,1.00,6.000,0.00
10036895,1701,12.00,1.000,0.00
10036895,642,1.80,2.000,0.00
10036895,1174,1.00,3.000,0.00
10036895,400,2.00,1.000,0.00
10036897,20,4.00,1.000,0.00
