NCM,DESCRICAO
24012090,OUTROS FUMOS NAO MANUFATURAD.TOTAL/PARCIALM.DESTALADOS
24012099,"FUMO DESTALADO,CURADO EM ESTUFA, VIRGINIA"
24013000,DESPERDICIOS DE FUMO (TABACO)
24021000,"CHARUTOS E CIGARRILHAS,DE FUMO"
24021001,CHARUTOS DE FUMO (TABACO)
24021002,CIGARRILHAS DE FUMO (TABACO)
24022000,CIGARROS DE FUMO
24022001,"CIGARROS DE FUMO (TABACO),FEITOS A MAO"
24022099,"CIGARROS DE FUMO (TABACO),EXC.FEITOS A MAO"
24029000,"CHARUTOS,CIGARRILHAS E CIGARROS,DE SUCEDANEOS DO FUMO"
24029001,CHARUTOS DE SUCEDANEOS DO FUMO
24029002,CIGARRILHAS DE SUCEDANEOS DO FUMO
24029003,"CIGARROS DE SUCEDANEOS DO FUMO,FEITOS A MAO"
24031000,"FUMO MANUFATURADO,P/FUMAR,MESMO CONT.SUCEDANEOS DO FUMO"
24031001,"FUMO AROMATIZADO,PICADO,DESFIADO,MIGADO OU EM PO"
24031002,FUMO (TABACO) EM CORDA OU EM ROLO
24031099,OUTS.FUMOS MESMO C/SUCEDANEOS DO FUMO
24039100,FUMO (TABACO) HOMOGENEIZADO/RECONSTITUIDO
24039901,"EXTRATOS E MOLHOS,DE FUMO (TABACO)"
24039902,RAPE
24039910,"EXTRATOS E MOLHOS,DE FUMO"
24039990,"OUTROS PRODUTOS DO FUMO E SEUS SUCEDANEOS,MANUFATURADOS"
24039999,OUTS.PRODUTOS DO FUMO (TABACO)
25010001,SAIS DE SALINAS E SAIS MARINHOS
25010002,"CLORETO DE SODIO PURO,C/TEOR MINIMO DE 99,5% NACL"
25010003,AGUA DO MAR
25010004,"AGUA-MAE,DE SALINAS"
25010011,"SAL MARINHO,A GRANEL,SEM AGREGADOS"
25010019,"OUTROS TIPOS DE SAL A GRANEL,SEM AGREGADOS"
25010020,SAL DE MESA
25010090,"OUTROS TIPOS DE SAL,CLORETO DE SODIO PURO E AGUA DO MAR"
25020000,"PIRITAS DE FERRO,NAO USTULADAS"
25030010,"ENXOFRE A GRANEL,EXC.SUBLIMADO,PRECIPITADO OU COLOIDAL"
25030090,"OUTS.FORMAS DE ENXOFRE,EXC.SUBLIMADO,PRECIPIT.COLOIDAL"
25031001,"ENXOFRE EM BRUTO E NAO REFINADO,A GRANEL"
25031099,OUTS.ENXOFRES EM BRUTOS E NAO REFINADOS
25039001,ENXOFRE EM BASTAO/BRIQUETA/PAO/TUBO/SEMELHS.E MOIDO
25039099,"OUTS.ENXOFRES EM QQ.FORMA,EXC.SUBLIMADO/ETC."
25041000,GRAFITA NATURAL EM PO OU EM ESCAMAS
25049000,GRAFITA NATURAL EXCETO EM PO OU EM ESCAMAS
25051000,AREIA SILICIOSA E AREIA QUARTZOSA
25059000,"OUTS.AREIAS NATURAIS,MESMO CORADAS,EXC.AS METALIFERAS"
25061000,QUARTZO
25061001,"QUARTZO S/PROPRIEDADES PIEZOELETRICAS,EM BRUTO/ETC."
25061002,QUARTZO COM PROPRIEDADES PIEZOELETRICAS
25062100,QUARTZITOS EM BRUTO OU DESBASTADOS
25062900,QUARTZITOS EXC.EM BRUTO OU DESBASTADOS
25070001,CAULIM LAVADO OU BENEFICIADO
25070010,CAULIM
25070090,"OUTRAS ARGILAS CAULINICAS,MESMO CALCINADAS"
25070099,"OUTS.ARGILAS CAULINICAS,MESMO CALCINADAS"
25081000,BENTONITA (ARGILA)
25082000,TERRAS DESCORANTES E TERRAS DE PISAO
25083000,ARGILAS REFRATARIAS
25084000,OUTS.ARGILAS EXC.ARGILAS EXPANDIDAS
25084010,"ARGILAS PLASTICAS,TEOR DE F2O3<15%,PERDA P/CALCIN>12%"
25084090,OUTRAS ARGILAS
25085000,"ANDALUZITA E CIANITA E SILIMANITA,NATURAIS"
25086000,MULITA
25087000,"BARRO COZIDO,EM PO,E TERRAS DE DINAS"
25090000,CRE
25101001,"FOSFATO DE CALCIO,NATURAL,NAO MOIDO"
25101010,"FOSFATOS DE CALCIO,NATURAIS,NAO MOIDOS"
25101090,"FOSFATOS ALUMINOCALCICOS,NATURS.CRE-FOSFATADO,N/MOIDOS"
25101099,"OUTS.FOSFATOS DE CALCIO,NAO MOIDOS"
25102000,FOSFATO DE CALCIO E ALUMINOCALCICO NATURAL/ETC.MOIDOS
25102010,"FOSFATOS DE CALCIO,NATURAIS,MOIDOS"
25102090,"FOSFATOS ALUMINOCALCICOS,NATURAIS,CRE-FOSFATADO,MOIDOS"
25111000,SULFATO DE BARIO NATURAL (BARITINA)
25112000,CARBONATO DE BARIO NATURAL (WITHERITA)
25120000,"FARINHAS SILICIOSAS FOSSEIS/OUTS.TERRAS SILICIOSAS,D<=1"
25120001,DIATOMITA (FARINHA SILICIOSA FOSSIL)
25120002,KIESELGUHR (FARINHA SILICIOSA FOSSIL)
25120099,OUTS.FARINHAS/TERRAS SILICIOSAS FOSSEIS
25131100,PEDRAS-POMES EM BRUTO/EM FRAGMENTO IRREGULAR
25131900,PEDRAS-POMES EM OUTS.FORMAS
25132000,"ESMERIL,CORINDO/GRANADA NATURAIS,OUTS.ABRASIVOS NATUR."
25132101,"GRANADA NATURAL,EM BRUTO/EM FRAGMENTO IRREGULAR"
25132102,TRIPOLE EM BRUTO OU EM FRAGMENTO IRREGULAR
25132103,"CORINDO NATURAL,EM BRUTO/EM FRAGMENTO IRREGULAR"
25132199,"OUTS.ABRASIVOS NATURAIS,EM BRUTO/EM FRAGMENTO IRREGUL."
25132901,"ESMERIL,EXC.EM BRUTO/EM FRAGMENTO IRREGULAR"
25132902,"GRANADA NATURAL,EXC.EM BRUTO/EM FRAGMENTO IRREGULAR"
25132903,TRIPOLE EXC.EM BRUTO/EM FRAGMENTO IRREGULAR
25132904,"CORINDO NATURAL,EXC.EM BRUTO/EM FRAGMENTO IRREGULAR"
25132999,"OUTS.ABRASIVOS NATURAIS,EXC.EM BRUTO/FRAGMENTO IRREGUL"
25140000,ARDOSIA EM BLOCOS/PLACAS QUADRADAS/RETANGULARES
25151100,"MARMORES E TRAVERTINOS,EM BRUTO OU DESBASTADOS"
25151101,MARMORE EM BRUTO
25151102,TRAVERTINOS EM BRUTO OU DESBASTADOS
25151200,MARMORE/TRAVERTINO/ETC.EM BLOCO/PLACA QUADRADA/RETANGUL
25151210,MARMORES CORTADOS EM BLOCOS OU PLACAS
25151220,TRAVERTINOS CORTADOS EM BLOCOS OU PLACAS
25152000,GRANITO BELGA/OUTS.PEDRAS CALCARIAS DE CANTARIA/CONSTR.
25161100,GRANITO EM BRUTO OU DESBASTADO
25161101,GRANITO EM BRUTO
25161102,GRANITO DESBASTADO
25161200,GRANITO EM BLOCOS/PLACAS QUADRADAS/RETANGULARES
25162100,ARENITO EM BRUTO OU DESBASTADO
25162200,ARENITO EM BLOCOS/PLACAS QUADRADAS/RETANGULARES
25169000,OUTRAS PEDRAS DE CANTARIA OU DE CONSTRUCAO
25169001,"BASALTO,DE CANTARIA OU CONSTRUCAO"
25169099,OUTS.PEDRAS DE CANTARIA/DE CONSTRUCAO
25171000,"CALHAUS,CASCALHOS E PEDRAS BRITADAS,PARA CONCRETO,ETC."
25171001,SEIXOS ROLADOS E SILEX
25171099,OUTS.CASCALHOS/PEDRAS P/CONCRETO/ETC.DE VIAS FERREAS/
25172000,MACADAME DE ESCORIA DE ALTO-FORNO/RESIDS.INDAIS.SEMELHS
25173000,TARMACADAME
25174100,"MARMORE EM GRANULOS,LASCAS E EM PO"
25174900,"GRANULOS,LASCAS E POS,GRANITO E OUTS.PEDRAS DE CANTARIA"
25174901,"OUTS.PEDRAS CALCARIAS,DE CANTARIA,EM GRANULOS/LASCAS/"
25174999,OUTS.GRANITOS/PORFIRO/ETC.EM GRANULOS/LASCAS/EM PO
25181000,"DOLOMITA CRUA ,N/CALCINADA NEM SINTERIZADA"
25182000,DOLOMITA CALCINADA OU SINTERIZADA
25183000,DOLOMITA EM AGLOMERADOS
25191000,CARBONATO DE MAGNESIO NATURAL (MAGNESITA)
25199001,MAGNESIA ELETROFUNDIDA
25199002,MAGNESIA CALCINADA A FUNDO
25199010,MAGNESIA ELETROFUNDIDA
25199090,MAGNESIA CALCINADA A FUNDO E OUTROS OXIDOS DE MAGNESIO
25199099,"OXIDO DE MAGNESIO,GRAU FARMACEUTICO,PUREZA >=96% MGO"
25201000,"GIPSITA,ANIDRITA"
25201011,GIPSITA EM PEDACOS IRREGULARES (PEDRAS)
25201019,OUTRAS FORMAS DE GIPSITAS
25201020,ANIDRITA
25202001,"GESSO C/ACELERADOR/RETARDADOR,P/PROTESE DENTARIA"
25202010,"GESSO MOIDO,APTO PARA USO ODONTOLOGICO"
25202090,OUTRAS FORMAS DE GESSO
25202099,OUTS.GESSOS
25210000,CASTINAS/PEDRAS CALCARIAS P/FABR.DE CAL/CIMENTO
25221000,CAL VIVA
25222000,CAL APAGADA
25223000,CAL HIDRAULICA
25231000,CIMENTO NAO PULVERIZADO ( CLINKERS )
25232100,"CIMENTO PORTLAND BRANCO,MESMO CORADO ARTIFICIALMENTE"
25232901,CIMENTO PORTLAND COMUM
25232902,CIMENTO PORTLAND DE ESCORIAS DE ALTO FORNO
25232910,"CIMENTOS PORTLAND ,COMUNS"
25232990,OUTROS TIPOS DE CIMENTO PORTLAND
25233000,CIMENTO ALUMINOSO
25239000,OUTS.CIMENTOS HIDRAULICOS
25240001,"AMIANTO (ARBESTO),EM FIBRAS"
25240002,"AMIANTO (ARBESTO),EM PO INCL.DESPERDICIOS"
25240010,"AMIANTO (ARBESTO) EM FIBRAS,NAO TRABALHADO"
25240020,AMIANTO (ARBESTO) EM PO
25240090,OUTRAS FORMAS DE AMIANTO (ARBESTO)
25240099,"AMIANTO (ARBESTO),EM OUTRAS FORMAS"
25251000,MICA EM BRUTO/CLIVADA EM FOLHAS/LAMELAS IRREGULARES
25252000,MICA EM PO
25253000,DESPERDICIOS DE MICA
25261000,"ESTEATITA NATURAL,NAO TRITURADA NEM EM PO"
25261001,"ESTEATITA NATURAL,NAO TRITURADA NEM EM PO"
25261002,"ESTEATITA,TALCO,NAO TRITURADO NEM EM PO"
25262000,"ESTEATITA NATURAL,TRITURADA OU EM PO E TALCO"
25262001,"ESTEATITA NATURAL,TRITURADA OU EM PO"
25262002,"ESTEATITA,TALCO,TRITURADO OU EM PO"
25270000,CRIOLITA NATURAL E QUIOLITA NATURAL
25281000,"BORATO DE SODIO,NATURAL,E SEUS CONCENTRADOS"
25289000,"OUTROS BORATOS NATURAIS,ACIDO BORICO,NATURAL,H3BO3<=85%"
25289001,"BORATO DE CALCIO,NATURAL"
25289099,OUTS.BORATOS NATURAIS E SEUS CONCENTRADOS
25291000,FELDPSPATO
25292100,ESPATOFLUOR CONTEUDO <=97% DE FLUORETO DE CALCIO
25292200,ESPATOFLUOR CONTEUDO > 97% DE FLUORETO DE CALCIO
25293000,"LEUCITA,NEFELINA E NEFELINA-SIENITO"
25301001,VERMICULITA NAO EXPANDIDA
25301002,PERLITA NAO EXPANDIDA
25301003,CLORITAS NAO EXPANDIDAS
25301010,PERLITA NAO EXPANDIDA
25301090,"VERMICULITA E CLORITAS,NAO EXPANDIDAS"
25302000,"KIESERITA,EPSOMITA (SULFATO DE MAGNESIO NATURAL)"
25303000,TERRAS CORANTES
25304000,OXIDOS DE FERRO MICACEOS NATURAIS
25309001,CELESTITA
25309002,AMBLIGONITA
25309003,"PIROLUSITA MOIDA,P/FABRICACAO DE PILHAS SECAS"
25309004,CACOS DE PRODUTOS CERAMICOS
25309005,PETALITA
25309006,ESPODUMENIO
25309007,LEPIDOLITA
25309008,AREIA DE ZIRCONIO MICRONIZADA P/PREPAR.DE ESMALTE CERAM
25309009,"MINERIOS DE METAL DE TERRAS RARAS,EXC.MONAZITA"
25309010,ESPODUMENIO
25309020,AREIAS DE ZIRCONIO MICRONIZ.P/PREPAR.DE ESMALTES CERAM.
25309030,MINERAIS DE METAIS DAS TERRAS RARAS
25309040,TERRAS CORANTES
25309090,OUTRAS MATERIAS MINERAIS
25309099,OUTS.MATERIAS MINERAIS
26011100,MINERIOS DE FERRO NAO AGLOMERADOS E SEUS CONCENTRADOS
26011101,HEMATITA FINO - MINERIO DE FERRO N/AGLOMERADO
26011102,ITABIRITO - MINERIO DE FERRO N/AGLOMERADO
26011199,"OUTS.MINERIOS DE FERRO,N/AGLOMERADOS"
26011200,MINERIOS DE FERRO AGLOMERADOS E SEUS CONCENTRADOS
26011201,ITABIRITO - MINERIO DE FERRO AGLOMERADO
26011202,HEMATITA PELOTIZADA - MINERIO DE FERRO AGLOMERADO
26011299,"OUTS.MINERIOS DE FERRO,AGLOMERADOS"
26012000,"PIRITAS DE FERRO,USTULADAS (CINZA DE PIRITA)"
26020001,"MINERIOS DE MANGANES,SILICO-CARBONATADO,N/AGLOMERADO"
26020002,"MINERIOS DE MANGANES,AGLOMERADOS,E SEUS CONCENTRADOS"
26020010,MINERIOS DE MANGANES AGLOMERADOS E SEUS CONCENTRADOS
26020090,OUTROS MINERIOS DE MANGANES
26030001,"MINERIOS DE COBRE,SULFETADOS,E SEUS CONCENTRADOS"
26030002,"MINERIOS DE COBRE,OXIDADOS,E SEUS CONCENTRADOS"
26030010,SULFETOS DE MINERIOS DE COBRE
26030090,OUTROS MINERIOS DE COBRE E SEUS CONCENTRADOS
26030099,OUTS.MINERIOS DE COBRE E SEUS CONCENTRADOS
26040000,MINERIOS DE NIQUEL E SEUS CONCENTRADOS
26050000,MINERIOS DE COBALTO E SEUS CONCENTRADOS
26060001,"BAUXITA METALURGICA,CALCINADA"
26060002,"BAUXITA METALURGICA,NAO CALCINADA"
26060011,BAUXITA NAO CALCINADA (MINERIO DE ALUMINIO)
26060012,BAUXITA CALCINADA (MINERIO DE ALUMINIO)
26060090,OUTROS MINERIOS DE ALUMINIO E SEUS CONCENTRADOS
26060099,OUTS.MINERIOS DE ALUMINIO E SEUS CONCENTRADOS
26070000,MINERIOS DE CHUMBO E SEUS CONCENTRADOS
26080001,"MINERIOS DE ZINCO,SULFETADOS,E SEUS CONCENTRADOS"
26080010,SULFETOS DE MINERIOS DE ZINCO
26080090,OUTROS MINERIOS DE ZINCO E SEUS CONCENTRADOS
26080099,OUTS.MINERIOS DE ZINCO E SEUS CONCENTRADOS
26090000,MINERIOS DE ESTANHO E SEUS CONCENTRADOS
26090001,CASSITERITA - MINERIO DE ESTANHO
26090099,OUTS.MINERIOS DE ESTANHO E SEUS CONCENTRADOS
26100001,CROMITA - MINERIO DE CROMO
26100010,CROMITA (MINERIOS DE CROMO)
26100090,OUTROS MINERIOS DE CROMO E SEUS CONCENTRADOS
26100099,OUTS.MINERIOS DE CROMO E SEUS CONCENTRADOS
26110000,MINERIOS DE TUNGSTENIO E SEUS CONCENTRADOS
26110001,SCHEELITA - MINERIO DE TUNGSTENIO
26110002,VOLFRAMITA - MINERIO DE TUNGSTENIO
26110099,OUTS.MINERIOS DE TUNGSTENIO E SEUS CONCENTRADOS
26121000,MINERIOS DE URANIO E SEUS CONCENTRADOS
26122000,MINERIOS DE TORIO E SEUS CONCENTRADOS
26122001,MONAZITA - MINERIO DE TORIO
26122099,OUTS.MINERIOS DE TORIO E SEUS CONCENTRADOS
26131001,MOLIBDENITA USTULADA - MINERIO DE MOLIBDENIO
26131010,MOLIBDENITA USTULADA (MINERIOS DE MOLIBDENIO)
26131090,"OUTS.MINERIOS DE MOLIBDENIO,USTULADOS,SEUS CONCENTRADOS"
26131099,"OUTS.MINERIOS DE MOLIBDENIO,USTULADOS"
26139001,MOLIBDENITA N/USTULADA - MINERIO DE MOLIBDENIO
26139010,MOLIBDENITA NAO USTULADA (MINERIOS DE MOLIBDENIO)
26139090,OUTS.MINERIOS DE MOLIBDENIO N/USTULADOS E CONCENTRADOS
26139099,"OUTS.MINERIOS DE MOLIBDENIO,N/USTULADOS,E CONCENTRADOS"
26140001,RUTILO - MINERIO DE TITANIO
26140002,ANATASIO - MINERIO DE TITANIO
26140003,ILMENITA - MINERIO DE TITANIO
26140010,ILMENITA (MINERIOS DE TITANIO)
26140090,OUTROS MINERIOS DE TITANIO E SEUS CONCENTRADOS
26140099,OUTS.MINERIOS DE TITANIO E SEUS CONCENTRADOS
26151001,BADELEITA - MINERIO DE ZIRCONIO
26151002,ZIRCONITA - MINERIO DE ZIRCONIO
26151003,CALDASITO - MINERIO DE ZIRCONIO
26151010,BADELEITA (MINERIO DE ZIRCONIO)
26151020,ZIRCONITA (MINERIO DE ZIRCONIO)
26151090,OUTROS MINERIOS DE ZIRCONIO E SEUS CONCENTRADOS
26151099,OUTS.MINERIOS DE ZIRCONIO E SEUS CONCENTRADOS
26159000,"MINERIOS DE NIOBIO,TANTALO OU VANADIO,SEUS CONCENTRADOS"
26159001,TANTALITA - MINERIO DE TANTALO
26159002,MINERIOS DE VANADIO E SEUS CONCENTRADOS
26161000,MINERIOS DE PRATA E SEUS CONCENTRADOS
26161001,"CONCENTRADO DE MINERIO POLIMETALICO,DE PRATA"
26161099,OUTS.MINERIOS DE PRATA E SEUS CONCENTRADOS
26169000,MINERIOS DE OUTROS METAIS PRECIOSOS E SEUS CONCENTRADOS
26169001,"CONCENTRADO DE MINERIO POLIMETALICO,DE OURO"
26169099,OUTS.MINERIOS DE METAIS PRECIOSOS E SEUS CONCENTRADOS
26171000,MINERIOS DE ANTIMONIO E SEUS CONCENTRADOS
26171001,ESTIBINITA/ESTIBINA - MINERIO DE ANTIMONIO
26171099,OUTS.MINERIOS DE ANTIMONIO E SEUS CONCENTRADOS
26179000,OUTROS MINERIOS E SEUS CONCENTRADOS
26179001,BERILO (MINERIO)
26179002,MINERIOS DE BISMUTO E SEUS CONCENTRADOS
26179003,MINERIOS DE MERCURIO E SEUS CONCENTRADOS
26179099,OUTS.MINERIOS E SEUS CONCENTRADOS
26180000,"ESCORIAS DE ALTOS-FORNOS,GRANULADAS,DA FABR.FERRO/ACO"
26190000,OUTS.ESCORIAS/OUTS.DESPERDS.DA FABRICACAO DO FERRO/ACO
26201100,"MATES DE GALVANIZACAO,CONTENDO ZINCO"
26201900,"OUTS.CINZAS E RESIDUOS,CONTENDO ZINCO"
26202000,CINZAS/RESIDUOS CONTENDO CHUMBO
26203000,CINZAS/RESIDUOS CONTENDO COBRE
26204000,CINZAS/RESIDUOS CONTENDO ALUMINIO
26205000,CINZAS/RESIDUOS CONTENDO VANADIO
26209001,CINZAS/RESIDUOS CONTENDO TITANIO
26209010,CINZAS E RESIDUOS CONTENDO TITANIO
26209090,CINZAS E RESIDUOS CONTENDO OUTROS METAIS OU COMPOSTOS
26209099,CINZAS/RESIDUOS DE OUTS.METAIS/COMPOSTOS DE METAIS
26210000,"OUTS.ESCORIAS E CINZAS,INCL.CINZAS DE ALGAS"
26210010,CINZAS DE ORIGEM VEGETAL
26210090,"OUTRAS ESCORIAS E CINZAS,INCL.AS CINZAS DE ALGAS"
27011100,ANTRACITA - HULHA NAO AGLOMERADA
27011200,"HULHA BETUMINOSA,NAO AGLOMERADA"
27011201,"HULHA BETUMINOSA,N/AGLOMERADA,P/FINS ENERGETICOS"
27011299,"HULHA BETUMINOSA,N/AGLOMERADA,P/OUTS.FINS"
27011900,"HULHA N/AGLOMERADA,EXC.ANTRACITA/BETUMINOSA"
27012000,BRIQUETE/COMBUSTIVEL SOLIDO/ETC.OBTIDOS DA HULHA
27021000,LINHITAS NAO AGLOMERADAS
27022000,"LINHITAS AGLOMERADAS,EXC.AZEVICHE"
27030000,TURFA (INCLUIDA A TURFA P/CAMA DE ANIMAIS)
27040001,"COQUE DE HULHA,DE LINHITA OU DE TURFA"
27040010,"COQUES DE HULHA,DE LINHITA OU DE TURFA"
27040090,"SEMICOQUES DE HULHA,LINHITA OU TURFA,CARVAO DE RETORTA"
27040099,"SEMICOQUES DE HULHA/LINHITA/TURFA,CARVAO DE RETORTA"
27050000,GAS DE HULHA/DE AGUA/DE AR/SEMELHS.EXC.DE PETROLEO/ETC.
27060000,ALCATROES DE HULHA/DE LINHITA/DE TURFA/ETC.
27071000,BENZOIS
27072000,TOLUOIS
27073000,XILOIS
27074000,NAFTALENO (DA DESTIL.DO ALCATRAO DE HULHA)
27075000,OUTS.MISTURAS DOS HIDROCARB.AROMAT.DESTIL>=65% A 250GC
27075001,NAFTA SOLVENTE
27075099,OUTS.MISTURAS DE HIDROCARB.AROMAT.C/DESTIL>=65% A 250GC
27076000,FENOL (PROD.DA DESTILACAO DO ALCATRAO DE HULHA)
27076010,CRESOIS (FENOLICO)
27076090,OUTROS DERIVADOS FENOLICOS
27079100,OLEO DE CREOSOTO
27079900,"OUTS.OLEOS E PRODS.DA DESTIL.DOS ALCATROES DA HULHA,ETC"
27079901,ANTRACENO (PROD.DA DESTILACAO DO ALCATRAO DE HULHA)
27079902,CRESOIS (PROD.DA DESTILACAO DO ALCATRAO DE HULHA)
27079903,XILENOIS (PROD.DA DESTILACAO DO ALCATRAO DE HULHA)
27079904,RESIDUOS AROMATICOS
27079905,OLEO AROMATICO EXTENSOR DE BORRACHA
27079999,OUTS.OLEOS/PRODS.DA DESTILACAO DO ALCATRAO DE HULHA
27081000,BREU OBTIDO DO ALCATRAO DE HULHA/ALCATRAO MINERAL
27082000,"COQUE DE BREU,DO ALCATRAO DE HULHA/ALCATRAO MINERAL"
27090001,OLEO BRUTO DE PETROLEO
27090002,OLEO BRUTO DE MINERAL BETUMINOSO
27090010,OLEOS BRUTOS DE PETROLEO
27090090,OLEOS BRUTOS DE MINERAIS BETUMINOSOS
27100001,GASOLEO (OLEO DIESEL)
27100002,"OLEO LUBRIFICANTE,A GRANEL"
27100003,"GASOLINA AUTOMOTIVA TIPO A,SEGUNDO CNP"
27100004,QUEROSENE DE AVIACAO
27100005,NAFTAS PARA PETROQUIMICA
27100006,TETRAMEROS DE PROPILENO - MISTURA DE ALQUILIDENOS
27100011,NAFTAS PARA PETROQUIMICA
27100019,OUTRAS NAFTAS
27100021,GASOLINAS DE AVIACAO
27100029,OUTRAS GASOLINAS
27100031,QUEROSENES DE AVIACAO
27100039,OUTROS QUEROSENES
27100041,GASOLEO (OLEO DIESEL)
27100042,FUEL-OIL (OLEO COMBUSTIVEL)
27100049,OUTROS OLEOS COMBUSTIVEIS
27100051,DIISOBUTILENO (MISTURA DE ALQUILIDENOS)
27100059,OUTRAS MISTURAS DE ALQUILIDENOS
27100061,OLEOS LUBRIFICANTES SEM ADITIVOS
27100062,OLEOS LUBRIFICANTES COM ADITIVOS
27100091,HEXANO COMERCIAL
27100092,AGUARRAS MINERAL
27100093,OLEOS MINERAIS BRANCOS (OLEOS DE VASELINA OU PARAFINA)
27100094,LIQUIDOS PARA TRANSMISSOES HIDRAULICAS
27100095,OLEOS PARA ISOLAMENTO ELETRICO
27100099,"OLEO DE PETROLEO/MINERAL BETUMINOSO,PARCIALM.REFINADOS"
27111100,"GASES NATURAIS,LIQUEFEITOS"
27111201,"PROPANO LIQUEFEITO,EM BRUTO"
27111210,"PROPANO EM BRUTO,LIQUEFEITO"
27111290,OUTROS PROPANOS LIQUEFEITOS
27111299,"PROPANO LIQUEFEITO,EXC.EM BRUTO"
27111300,BUTANO LIQUEFEITO
27111400,"ETILENO/PROPILENO/BUTILENO/BUTADIENO,LIQUEFEITOS"
27111901,"METANO,LIQUEFEITO"
27111902,"MISTURA DE PROPANO/BUTANO (GLP),LIQUEFEITOS"
27111910,GAS LIQUEFEITO DE PETROLEO (GLP)
27111990,OUTROS GASES LIQUEFEITOS DE HIDROCARBONETOS GASOSOS
27111999,"OUTS.GASES DE PETROLEO,LIQUEFEITOS"
27112100,"GASES NATURAIS,NO ESTADO GASOSO"
27112901,BUTANO GASOSO
27112902,"PROPANO GASOSO,EM BRUTO"
27112903,"METANO,GASOSO"
27112910,BUTANOS NO ESTADO GASOSO
27112990,"OUTS.HIDROCARB.GASOSOS E GAS PETROLEO,NO ESTADO GASOSO"
27112999,"OUTS.GASES DE PETROLEO/HIDROCARBONETOS,GASOSOS"
27121000,VASELINA
27122000,PARAFINA CONTENDO PESO<075% DE OLEO
27129000,"CERA DE PETROLEO MICROCRISTALINA,CERAS MINERAIS,ETC."
27129001,PARAFINA SINTETICA
27129002,CERAS DE LINHITA
27129003,CERAS MINERAIS BRUTAS (OZOCERITE)
27129004,CERAS MINERAIS REFINADAS (CERESINA)
27129099,OUTS.CERAS DE PETROLEO/MINERAIS OBTIDOS POR SINTESE/ETC
27131100,"COQUE DE PETROLEO,NAO CALCINADO"
27131200,"COQUE DE PETROLEO,CALCINADO"
27132000,BETUMES DE PETROLEO
27139000,OUTS.RESIDUOS DO OLEO DE PETROLEO/MINERAL BETUMINOSO
27141000,XISTOS E AREIAS BETUMINOSOS
27149000,"BETUMES,ASFALTOS NATURAIS,ASFALTITAS,ROCHA ALFALTICAS"
27149001,BETUMES NATURAIS E ASFALTOS
27149002,ROCHAS ASFALTICAS
27149003,ASFALTITAS
27150000,"MISTURAS BETUMINOSAS A BASE DE ASFALTO,DE BETUMES,ETC."
27150001,CUT-BACKS (MISTURA BETUMINOSA)
27150002,EMULSOES DE ASFALTO OU BETUME
27150003,PREPARACAO DE ASFALTO LIQUIDO C/SAIBRO/AREIA/ETC
27150099,OUTS.MISTURAS BETUMINOSAS A BASE DE ASFALTO/BETUMES/ETC
27160000,ENERGIA ELETRICA
28011000,CLORO
28012001,IODO EM BRUTO
28012002,IODO SUBLIMADO
28012010,IODO SUBLIMADO
28012090,OUTRAS FORMAS DE IODO
28013000,FLUOR E BROMO
28013001,FLUOR
28013002,BROMO
28020000,ENXOFRE SUBLIMADO OU PRECIPITADO E ENXOFRE COLOIDAL
28020001,ENXOFRE SUBLIMADO OU PRECIPITADO
28020002,ENXOFRE COLOIDAL
28030001,NEGROS DE CARBONO TIPOS HAF/FEF/ISAF/MPC/EPC
28030011,NEGROS DE ACETILENO (NEGROS DE CARBONO)
28030019,OUTROS NEGROS DE CARBONO
28030090,OUTRAS FORMAS DE CARBONO
28030099,OUTS.FORMAS DE CARBONO
28041000,HIDROGENIO
28042100,ARGONIO (GASES RAROS)
28042900,"GASES RAROS,EXC.ARGONIO"
28042910,HELIO LIQUIDO (GASES RAROS)
28042990,OUTROS GASES RAROS
28043000,NITROGENIO (AZOTO)
28044000,OXIGENIO
28045000,BORO E TELURIO
28046100,"SILICIO COM PUREZA >=99,99%"
28046900,"SILICIO COM PUREZA < 99,99%"
28047001,FOSFORO BRANCO
28047002,FOSFORO VERMELHO OU AMORFO
28047010,FOSFORO BRANCO
28047020,FOSFORO VERMELHO OU AMORFO
28047030,FOSFORO NEGRO
28047099,OUTS.FOSFOROS
28048000,ARSENICO
28049000,SELENIO
28051100,SODIO - METAL ALCALINO
28051900,OUTROS METAIS ALCALINOS
28051901,LITIO - METAL ALCALINO
28051999,"METAL ALCALINO,EXC.SODIO E LITIO"
28052100,CALCIO - METAL ALCALINO TERROSO
28052201,ESTRONCIO - METAL ALCALINO TERROSO
28052202,BARIO - METAL ALCALINO TERROSO
28052210,ESTRONCIO (METAL ALCALINO TERROSO)
28052220,BARIO (METAL ALCALINO TERROSO)
28053001,MISCHMETAL - LIGA DE CERIO COM FERRO(<=5%)
28053002,CERIO - METAL DE TERRAS RARAS
28053003,ITRIO - METAL DE TERRAS RARAS
28053010,LIGA DE CERIO COM PESO<=5% DE FERRO ( MISCHMETAL )
28053090,"OUTROS METAIS DE TERRAS RARAS,ESCANDIO E ITRIO"
28053099,OUTS.METAIS DE TERRAS RARAS/ESCANDIO E ITRIO
28054000,MERCURIO
28061001,CLORETO DE HIDROGENIO GASOSO/LIQUEFEITO (AC.CLORIDRICO)
28061002,CLORETO DE HIDROGENIO AQUOSO (ACIDO CLORIDRICO)
