NCM,DESCRICAO
02022005,"TIBONE DE BOVINO,NAO DESOSSADO,CONGELADO"
02022010,"QUARTOS DIANTEIROS NAO DESOSSADOS DE BOVINO,CONGELADOS"
02022020,"QUARTOS TRASEIROS NAO DESOSSADOS DE BOVINO,CONGELADOS"
02022090,"OUTRAS PECAS NAO DESOSSADAS DE BOVINO,CONGELADAS"
02022099,"OUTRAS CARNES DE BOVINO,NAO DESOSSADAS,CONGELADAS"
02023000,"CARNES DESOSSADAS DE BOVINO,CONGELADAS"
02023001,"CARCACA E MEIA-CARCACA,DE BOVINO,DESOSSADA,CONGELADA"
02023002,"QUARTO DE DIANTEIRO,DE BOVINO,DESOSSADO,CONGELADO"
02023003,"QUARTO DE TRASEIRO,DE BOVINO,DESOSSADO,CONGELADO"
02023004,"CORACAO DE ALCATRA,DE BOVINO,DESOSSADO,CONGELADO"
02023005,"CONTRAFILE DE BOVINO,DESOSSADO,CONGELADO"
02023006,"COXAO DURO,DE BOVINO,DESOSSADO,CONGELADO"
02023007,"COXAO MOLE,DE BOVINO,DESOSSADO,CONGELADO"
02023008,"FILE MIGNON,DE BOVINO,DESOSSADO,CONGELADO"
02023009,"LAGARTO DE BOVINO,DESOSSADO,CONGELADO"
02023010,"PATINHO DE BOVINO,DESOSSADO,CONGELADO"
02023099,"OUTS.CARNES DE BOVINO,DESOSSADAS,CONGELADAS"
02031100,"CARCACA E MEIA-CARCACA,DE SUINO,FRESCA OU REFRIGERADA"
02031200,"PERNAS E PAS,DE SUINO,NAO DESOSSADAS,FRESCAS OU REFRIG."
02031900,"OUTRAS CARNES DE SUINO,FRESCAS OU REFRIGERADAS"
02031901,"TOUCINHO ENTREMEADO,FRESCO OU REFRIGERADO"
02031999,"OUTRAS CARNES DE SUINO,FRESCAS OU REFRIGERADAS"
02032100,"CARCACA E MEIA-CARCACA,DE SUINO,CONGELADA"
02032200,"PERNAS E PAS,DE SUINO,NAO DESOSSADAS,CONGELADAS"
02032900,"OUTRAS CARNES DE SUINO,CONGELADAS"
02041000,"CARCACA E MEIA-CARCACA,DE CORDEIRO,FRESCA,REFRIGERADA"
02042100,"CARCACA E MEIA-CARCACA,DE OVINO,FRESCA OU REFRIGERADA"
02042200,"OUTS.CARNES DE OVINO,NAO DESOSSADAS,FRESCAS OU REFRIGER"
02042300,"CARNES DE OVINO,DESOSSADAS,FRESCAS OU REFRIGERADAS"
02043000,"CARCACA E MEIA-CARCACA,DE CORDEIRO,CONGELADA"
02044100,"CARCACA E MEIA-CARCACA,DE OVINO,CONGELADA"
02044200,"OUTS.CARNES DE OVINO,NAO DESOSSADAS,CONGELADAS"
02044300,"CARNES DE OVINO,DESOSSADAS,CONGELADAS"
02045000,"CARNES DE CAPRINO,FRESCAS,REFRIGERADAS OU CONGELADAS"
02045001,"CARNES DE CAPRINO,FRESCAS OU REFRIGERADAS"
02045002,"CARNES DE CAPRINO,CONGELADAS"
02050000,"CARNES DE CAVALO,ASININO E MUAR,FRESCAS,REFRIG.OU CONG."
02050001,"CARNES DE CAVALO,FRESCAS OU REFRIGERADAS"
02050002,"CARNES DE ASININO,FRESCAS,REFRIGERADAS OU CONGELADAS"
02050003,"CARNES DE MUAR,FRESCAS,REFRIGERADAS OU CONGELADAS"
02061000,"MIUDEZAS COMESTIVEIS DE BOVINO,FRESCAS OU REFRIGERADAS"
02061001,"CARNES DE CABECA DE BOVINO,FRESCAS OU REFRIGERADAS"
02061002,"CORACAO DE BOVINO,FRESCO OU REFRIGERADO"
02061003,"FIGADO DE BOVINO,FRESCO OU REFRIGERADO"
02061004,"LINGUA DE BOVINO,FRESCA OU REFRIGERADA"
02061005,"RABO DE BOVINO,FRESCO OU REFRIGERADO"
02061006,"RIM DE BOVINO,FRESCO OU REFRIGERADO"
02061099,"OUTS.MIUDOS COMESTIVEIS,DE BOVINO,FRESCOS,REFRIGERADOS"
02062100,"LINGUAS DE BOVINO,CONGELADAS"
02062200,"FIGADOS DE BOVINO,CONGELADOS"
02062901,"CARNES DE CABECA DE BOVINO,CONGELADAS"
02062902,"CORACAO DE BOVINO,CONGELADO"
02062903,"RABO DE BOVINO,CONGELADO"
02062904,"RIM DE BOVINO,CONGELADO"
02062910,"RABOS DE BOVINO,CONGELADOS"
02062990,"OUTRAS MIUDEZAS COMESTIVEIS DE BOVINO,CONGELADAS"
02062999,"OUTS.MIUDOS COMESTIVEIS DE BOVINO,CONGELADOS"
02063000,"MIUDOS COMESTIVEIS DE SUINO,FRESCOS OU REFRIGERADOS"
02064100,"FIGADOS DE SUINO,CONGELADOS"
02064900,"OUTS.MIUDOS COMESTIVEIS,DE SUINO,CONGELADOS"
02068000,"MIUDOS COMESTIVEIS,DE OVINO,CAPRINO,ETC.FRESCOS,REFRIG."
02069000,"MIUDOS COMESTIVEIS,DE OVINO,CAPRINO,ETC.CONGELADOS"
02071001,"CARNES DE GALOS,FRANGOS,GALINHAS,INTEIRAS,FRESCA,REFRIG"
02071099,"CARNES DE OUTS.AVES DOMESTICAS,INTEIRAS,FRESCAS,REFRIG."
02071100,"CARNES DE GALOS/GALINHAS,N/CORT.PEDACOS,FRESCAS/REFRIG."
02071200,"CARNES DE GALOS/GALINHAS,N/CORTADAS EM PEDACOS,CONGEL."
02071300,"PEDACOS E MIUDEZAS,DE GALOS/GALINHAS,FRESCOS/REFRIGER."
02071400,"PEDACOS E MIUDEZAS,COMEST.DE GALOS/GALINHAS,CONGELADOS"
02072100,"CARNES DE GALOS,FRANGOS OU GALINHAS,INTEIRAS,CONGELADAS"
02072200,"CARNES DE PERUS OU PERUAS,INTEIRAS,CONGELADAS"
02072300,"CARNES DE PATOS,GANSOS OU PINTADAS,INTEIRAS,CONGELADAS"
02072400,"CARNES DE PERUAS/PERUS,N/CORT.PEDACOS,FRESCAS/REFRIGER."
02072500,"CARNES DE PERUAS/PERUS,N/CORTADAS EM PEDACOS,CONGELADAS"
02072600,"CARNES DE PERUAS/PERUS,EM PEDACOS,MIUDEZ.FRESCOS/REFRIG"
02072700,"CARNES DE PERUAS/PERUS,EM PEDACOS E MIUDEZAS,CONGELADAS"
02073100,"FIGADOS DE GANSOS OU PATOS,FRESCOS OU REFRIGERADOS"
02073200,"CARNES DE PATOS,ETC.N/CORT.EM PEDACOS,FRESCAS/REFRIGER."
02073300,"CARNES DE PATOS,GANSOS,ETC.N/CORT.EM PEDACOS,CONGELADAS"
02073400,"FIGADOS GORDOS,DE PATOS/GANSOS/PINTADAS,FRESCOS/REFRIG."
02073500,"OUTS.CARNES/MIUDEZAS,DE PATOS,GANSOS,ETC.FRESCAS,REFRIG"
02073600,"OUTRAS CARNES,MIUDEZAS,DE PATOS,GANSOS,ETC.CONGELADAS"
02073901,"CARNES DE GALOS,FRANGOS,ETC.EM PEDACOS,FRESCAS,REFRIGER"
02073902,"FIGADOS DE GALOS,FRANGOS,GALINHAS,FRESCOS,REFRIGERADOS"
02073999,"CARNES DE OUTS.AVES DOMEST.EM PEDACOS,FRESCAS,REFRIGER."
02074101,"CARNES DE GALOS,FRANGOS,GALINHAS,EM PEDACOS,CONGELADAS"
02074102,"MIUDOS COMESTIVEIS,DE GALOS,FRANGOS,GALINHAS,CONGELADOS"
02074200,"CARNES DE PERUS,PERUAS,EM PEDACOS,E MIUDOS,CONGELADOS"
02074300,"CARNES DE PATOS,GANSOS,EM PEDACOS,E MIUDOS,CONGELADOS"
02075001,"FIGADOS DE GALOS,FRANGOS OU GALINHAS,CONGELADOS"
02075099,"FIGADOS DE OUTS.AVES DOMESTICAS,CONGELADOS"
02081000,"CARNES DE COELHOS OU LEBRES,FRESCAS,REFRIGERADAS,CONGEL"
02082000,"COXAS DE RA,FRESCAS,REFRIGERADAS OU CONGELADAS"
02089000,"OUTS.CARNES,MIUDOS COMESTIVEIS,FRESCOS,REFRIGERADOS,ETC"
02090001,"TOUCINHO SEM PARTES MAGRAS,FRESCO,REFRIGERADO,CONGELADO"
02090002,"GORDURA DE PORCO,N/FUNDIDA,FRESCA,REFRIGERADA,CONGELADA"
02090003,"GORDURA DE AVES,N/FUNDIDA,FRESCA,REFRIGERADA,CONGELADA"
02090011,"TOUCINHO SEM PARTES MAGRAS,FRESCO/REFRIGERADO/CONGELADO"
02090019,"TOUCINHO SEM PARTES MAGRAS,SALGADO/SALMOURA/SECO/DEFUM."
02090021,"GORDURA DE PORCO,FRESCA,REFRIGERADA OU CONGELADA"
02090029,"GORDURA DE PORCO,N/FUNDIDA,SALGADA,EM SALMOURA,SECA,ETC"
02090090,"GORDURA DE AVES,N/FUNDIDA,FRESCA,REFRIGERADA,CONGEL.ETC"
02101100,"PERNAS/PAS/PEDACOS,DE SUINO,N/DESOSSADOS,SALGADOS,ETC."
02101101,"PRESUNTOS DE SUINO,COM OSSOS,SALGADOS,EM SALMOURA,ETC."
02101199,"OUTS.PERNAS,PAS,PEDACOS,DE SUINO,COM OSSOS,SALGADOS,ETC"
02101200,"BARRIGAS E PEITOS,ENTREMEADOS,DE SUINO,SALGADOS,ETC."
02101201,"TOUCINHO COM PARTES MAGRAS,DEFUMADO"
02101299,"OUTS.BARRIGAS,PEITOS,DE SUINO,SEM OSSOS,SALGADOS,ETC."
02101900,"OUTS.CARNES DE SUINO,E MIUDOS COMESTIVEIS,SALGADOS,ETC."
02102000,"CARNES DE BOVINOS,SALGADAS/EM SALMOURA/SECAS/DEFUMADAS"
02102001,"CHARQUE (CARNE SECA) E CARNE DE SOL,DE BOVINO"
02102099,"OUTS.CARNES DE BOVINO,E MIUDOS COMESTIVEIS,SALGADOS,ETC"
02109000,"CARNES E MIUDEZAS,DE OUTROS ANIMAIS,SALGADOS,ETC."
02109001,"FIGADOS DE AVES DOMESTICAS,SALGADOS OU EM SALMOURA"
02109002,"LINGUAS DE ANIMAIS,SALGADAS,EM SALMOURA,ETC."
02109003,"PRESUNTOS DE GALOS,GALINHAS,PATOS,ETC.SALGADOS,SALMOURA"
02109099,"OUTS.CARNES DE ANIMAIS,SALGADAS,EM SALMOURA,SECAS,ETC."
03011000,PEIXES VIVOS ORNAMENTAIS
03019101,TRUTAS PARA REPRODUCAO OU CRIACAO
03019110,"TRUTAS (SALMO TRUTTA E ONCORHYNCHUS),PARA REPRODUCAO"
03019190,"OUTRAS TRUTAS (SALMO TRUTTA E ONCORHYNCHUS),VIVAS"
03019199,OUTS.TRUTAS VIVAS
03019201,ENGUIAS PARA REPRODUCAO OU CRIACAO
03019210,ENGUIAS (ANGUILLA SPP.) PARA REPRODUCAO
03019290,OUTRAS ENGUIAS (ANGUILLA SPP.) VIVAS
03019299,OUTS.ENGUIAS VIVAS
03019301,CARPAS PARA REPRODUCAO OU CRIACAO
03019310,CARPAS PARA REPRODUCAO
03019390,OUTRAS CARPAS VIVAS
03019399,OUTS.CARPAS VIVAS
03019901,OUTS.PEIXES PARA REPRODUCAO OU CRIACAO
03019910,OUTROS PEIXES PARA REPRODUCAO
03019990,OUTROS PEIXES VIVOS
03019999,OUTS.PEIXES VIVOS
03021100,"TRUTAS FRESCAS OU REFRIGER.EXC.FILES,OUTS.CARNES,ETC."
03021200,"SALMOES-DO-PACIFICO,ETC.FRESCOS,REFRIGER.EXC.FILES,ETC."
03021900,"OUTS.SALMONIDEOS FRESCOS OU REFRIGERADOS,EXC.FILES,ETC."
03022100,"LINGUADOS-GIGANTES FRESCOS,REFRIGERADOS,EXC.FILES,ETC."
03022200,"SOLHAS OU PATRUCAS,FRESCAS,REFRIGERADAS,EXC.FILES,ETC."
03022300,"LINGUADOS FRESCOS OU REFRIGER.EXC.FILES,OUTS.CARNES,ETC"
03022900,"OUTS.PEIXES CHATOS,FRESCOS OU REFRIGER.EXC.FILES,ETC."
03023100,"ATUNS-BRANCOS FRESCOS OU REFRIGERADOS,EXC.FILES,ETC."
03023200,"ALBACORAS FRESCAS OU REFRIGERADAS,EXC.FILES,OUTS.CARNES"
03023300,"BONITOS-LISTRADOS FRESCOS OU REFRIGERADOS,EXC.FILES,ETC"
03023900,"OUTS.ATUNS,BONITOS,FRESCOS,REFRIGERADOS,EXC.FILES,ETC."
03024000,"ARENQUES FRESCOS OU REFRIGERADOS,EXC.FILES,OUTS.CARNES"
03025000,"BACALHAUS FRESCOS OU REFRIGERADOS,EXC.FILES,OUTS.CARNES"
03026100,"SARDINHA FRESCA OU REFRIGER.EXC.FILES,OUTS.CARNES,ETC."
03026200,"HADDOCKS FRESCOS,REFRIGERADOS,EXC.FILES E OUTS.CARNES"
03026300,"PEIXES-CARVAO FRESCOS,REFRIGER.EXC.FILES E OUTS.CARNES"
03026400,"CAVALAS,ETC.FRESCAS,REFRIG.EXC.FILES E OUTS.CARNES"
03026500,"ESQUALOS FRESCOS,REFRIGERADOS,EXC.FILES,OUTS.CARNES"
03026600,"ENGUIAS FRESCAS,REFRIGERADAS,EXC.FILES E OUTS.CARNES"
03026901,"CORVINA FRESCA,REFRIGERADA,EXC.FILES E OUTS.CARNES"
03026902,"MERLUZA FRESCA,REFRIGERADA,EXC.FILES E OUTS.CARNES"
03026903,"PESCADA FRESCA OU REFRIGERADA,EXC.FILES E OUTS.CARNES"
03026910,"MERLUZAS FRESCAS,REFRIG.EXC.FILES,OUTRAS CARNES,ETC."
03026990,"OUTROS PEIXES FRESCOS,REFRIG.EXC.FILES,OUTS.CARNES,ETC."
03026999,"OUTS.PEIXES FRESCOS,REFRIG.EXC.FILES E OUTS.CARNES"
03027000,"FIGADOS,SEMEN E OVAS,DE PEIXES,FRESCOS OU REFRIGERADOS"
03031000,"SALMOES-DO-PACIFICO CONGELADOS,EXC.FILES E OUTS.CARNES"
03032100,"TRUTAS CONGELADAS,EXC.FILES E OUTS.CARNES"
03032200,"SALMOES-DO-ATLANTICO,ETC.CONGELADOS,EXC.FILES,ETC."
03032900,"OUTS.SALMONIDEOS CONGELADOS,EXC.FILES E OUTS.CARNES"
03033100,"LINGUADOS-GIGANTES CONGELADOS,EXC.FILE/FIGADO/OVAS/ETC."
03033200,"SOLHAS/PATRUCAS,CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
03033300,"LINGUADOS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03033900,"OUTS.PEIXES CHATOS,CONGELADOS,EXC.FILE/FIGADO/OVAS/ETC."
03034100,"ATUNS-BRANCOS/ETC.CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03034200,"ALBACORAS/ETC.CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
03034300,"BONITOS-LISTRADOS/ETC.CONGELADOS,EXC.FILE/FIGADO/OVAS/"
03034900,"OUTS.ATUNS/BONITOS,CONGELADOS,EXC.FILE/FIGADO/OVAS/ETC."
03035000,"ARENQUES CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03036000,"BACALHAUS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037100,"SARDINHA/ETC.CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
03037200,"HADDOCKS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037300,"PEIXES-CARVAO CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037400,"CAVALAS/ETC.CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037500,"ESQUALOS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037600,"ENGUIAS CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037700,"PERCAS (ROBALOS/BAILAS) CONGELADAS,EXC.FILE/FIGADO/ETC."
03037800,"MERLUZAS/ETC.CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
03037901,"CASTANHA (PEIXE) CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
03037902,"CORVINA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
03037903,"PARGO-ROSA CONGELADO,EXC.FILE/FIGADO/OVAS/SEMEN"
03037904,"PESCADA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
03037905,"PIRAMUTABA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
03037906,"TAMUATA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
03037910,"CORVINAS CONGELADAS,EXC.FILES,OUTRAS CARNES,FIGADOS,ETC"
03037920,"PESCADAS CONGELADAS,EXC.FILES,OUTRAS CARNES,FIGADOS,ETC"
03037990,"OUTROS PEIXES CONGELADOS,EXC.FILES,OUTROS CARNES,ETC."
03037999,"OUTS.PEIXES CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
03038000,"FIGADOS/SEMEN/OVAS,DE PEIXES,CONGELADOS"
03041000,"FILES/OUTS.CARNES DE PEIXES,FRESCOS/REFRIGERADOS"
03042001,"FILES DE CORVINA,CONGELADOS"
03042002,"FILES DE DOURADO,CONGELADOS"
03042003,"FILES DE MERLUZA,CONGELADOS"
03042004,"FILES DE PARGO-ROSA,CONGELADOS"
03042005,"FILES DE PESCADA,CONGELADOS"
03042006,"FILES DE PIRAMUTABA,CONGELADOS"
03042010,"FILES DE MERLUZAS,CONGELADOS"
03042090,"FILES DE OUTROS PEIXES,CONGELADOS"
03042099,"OUTS.FILES DE PEIXES,CONGELADOS"
03049000,"OUTRAS CARNES DE PEIXES,CONGELADAS"
03049001,"OUTS.CARNES DE CORVINA,FRESCAS/REFRIGERADAS/CONGELADAS"
03049002,"OUTS.CARNES DE DOURADO,FRESCAS/REFRIGERADAS/CONGELADAS"
03049003,"OUTS.CARNES DE MERLUZA,FRESCAS/REFRIGERADAS/CONGELADAS"
03049004,"OUTS.CARNES DE PARGO-ROSA,FRESCAS/REFRIG/CONGELADAS"
03049005,"OUTS.CARNES DE PESCADA,FRESCAS/REFRIGERADAS/CONGELADAS"
03049006,"OUTS.CARNES DE PIRAMUTABA,FRESCAS/REFRIG/CONGELADAS"
03049099,"OUTS.CARNES DE PEIXES,FRESCAS/REFRIGERADAS/CONGELADAS"
03051000,"FARINHAS/POS/ETC.DE PEIXES,P/ALIMENTACAO HUMANA"
03052000,"FIGADOS,OVAS E SEMEN,DE PEIXES,SECOS,DEFUMADOS,ETC."
03052001,"OVAS DE PEIXES,SECAS/DEFUMADAS/SALGADAS/EM SALMOURA"
03052099,"FIGADOS/SEMEN,DE PEIXES,SECOS/DEFUMADOS/SALGADOS/ETC."
03053000,"FILES DE PEIXES,SECOS,SALGADOS,EM SALMOURA,N/DEFUMADOS"
03053001,"FILES DE BACALHAUS,SECOS/SALGADOS/SALMOURA,N/DEFUMADOS"
03053099,"OUTS.FILES DE PEIXES,SECOS/SALGADOS/SALMOURA,N/DEFUMADO"
