NUMERO,IMPRESSORA,PICOTE,COLUNAS,LINAPOS,PORTA,MAXLIN,MARGEM,COMPON,COMPOFF,EXPON,EXPOFF,RESET,GAVETA,CORTE,LARGURA
4,EPSON 40 COL,false,55,10,LPT1,58,0,15,18,"27,33,32","27,33,0","27,64,27,67,33",,,16
5,HP LASER/DESKJET 10,true,55,0,LPT1,58,0,,,,,"27,69,27,38,108,48,69,27,40,115,54,116,49,56,104,51,66",,,20
6,ELGIN I9,false,55,15,COM4,58,0,15,18,14,20,"27,64,27,67,66",,,30
1,EPSONLX300,true,40,15,LPT1,58,0,15,18,14,20,"27,64,27,67,66",,,30
